Algorithm,Run,HV,ONVG,SPACING,SPREAD,MAXIMUM SPREAD,ONVGR,Error Ratio,Max Pareto Front Error,GD,IGD
CMAES,2,0.06737370663333334,,,,,,,,,
EpsMOEA,2,-0.013823405500000002,,,,,,,,,
GDE3,2,-0.14831794843333335,,,,,,,,,
GPR_NSGAII,2,-0.03872442646666666,,,,,,,,,
GPR_Random,2,-0.0001910878,,,,,,,,,
GPR_SMPSO,2,-0.11204541673333333,,,,,,,,,
MLP_NSGAII,2,-0.06782608073333334,,,,,,,,,
MLP_Random,2,-0.019070196233333333,,,,,,,,,
MLP_SMPSO,2,-0.08067981456666667,,,,,,,,,
MOEAD,2,-0.07021453103333333,,,,,,,,,
NSGAII,2,-0.031232138000000003,,,,,,,,,
OMOPSO,2,-0.14185919726666665,,,,,,,,,
PAES,2,0.018207773233333335,,,,,,,,,
PESA2,2,-0.0109921152,,,,,,,,,
RF_NSGAII,2,-0.0135959165,,,,,,,,,
RF_Random,2,-0.0069330623333333325,,,,,,,,,
RF_SMPSO,2,-0.041185032266666664,,,,,,,,,
SMPSO,2,-0.23137454383333333,,,,,,,,,
SPEA2,2,-0.029492856666666668,,,,,,,,,
